"Time","dpc","interrupt","privileged","user"
2024-03-03 18:01:00,0,0,1.31,1.95
2024-03-03 18:01:15,0.0586,0.488,8.58,19.5
2024-03-03 18:01:30,0.0977,2.05,23.4,56.4
2024-03-03 18:01:45,0.0586,0.957,13.7,33.9
2024-03-03 18:02:00,0,0,1.33,1.85
2024-03-03 18:02:15,0,0,0.527,0.898
2024-03-03 18:02:30,0,0.0196,1.27,2.12
2024-03-03 18:02:45,0,0,0.605,1.54
2024-03-03 18:03:00,0.0193,0,1.39,1.93
2024-03-03 18:03:15,0.0195,0,0.527,0.742
2024-03-03 18:03:30,0,0,1.17,1.82
2024-03-03 18:03:45,0,0.0391,0.469,0.840
2024-03-03 18:04:00,0,0.0391,1.84,1.56
2024-03-03 18:04:15,0,0,0.431,1.14
2024-03-03 18:04:30,0.117,2.05,23.5,61.6
2024-03-03 18:04:45,0.0982,2.14,24.0,62.4
2024-03-03 18:05:00,0,0,1.39,1.31
2024-03-03 18:05:15,0,0,0.431,1.51
2024-03-03 18:05:30,0,0.117,1.74,2.01
2024-03-03 18:05:45,0,0,0.588,1.12
2024-03-03 18:06:00,0,0,1.27,1.66
2024-03-03 18:06:15,0.0195,0,0.449,1.54
2024-03-03 18:06:30,0,0.0195,1.21,1.44
2024-03-03 18:06:45,0.0195,0,0.390,1.44
2024-03-03 18:07:00,0,0,0.937,1.46
2024-03-03 18:07:15,0,0,0.546,1.09
2024-03-03 18:07:30,0.0586,1.66,24.0,59.8
2024-03-03 18:07:45,0.0587,1.96,24.6,57.9
2024-03-03 18:08:00,0,0,1.33,1.50
2024-03-03 18:08:15,0,0,0.371,1.37
2024-03-03 18:08:30,0,0.0390,1.19,2.01
2024-03-03 18:08:45,0.0391,0,0.762,1.07
2024-03-03 18:09:00,0,0,1.23,1.76
2024-03-03 18:09:15,0,0,0.605,1.17
2024-03-03 18:09:30,0,0,1.21,1.86
2024-03-03 18:09:45,0,0,0.879,1.60
2024-03-03 18:10:00,0,0,1.27,1.35
2024-03-03 18:10:15,0,0.0196,0.607,0.764
2024-03-03 18:10:30,0.0586,0.0195,1.47,2.42
2024-03-03 18:10:45,0.117,0.468,6.75,8.53
2024-03-03 18:11:00,0.0977,0.352,4.93,8.72
2024-03-03 18:11:15,0,0,0.645,1.29
2024-03-03 18:11:30,0,0,0.703,2.26
2024-03-03 18:11:45,0,0,0.626,1.33
2024-03-03 18:12:00,0,0,0.604,1.42
2024-03-03 18:12:15,0,0.0196,0.528,1.25
2024-03-03 18:12:30,0,0,0.645,1.90
2024-03-03 18:12:45,0.0195,0,0.684,1.15
2024-03-03 18:13:00,0,0,0.724,1.74
2024-03-03 18:13:15,0,0,0.409,0.721
2024-03-03 18:13:30,0,0,0.683,1.48
2024-03-03 18:13:45,0.0391,0.293,5.12,10.9
2024-03-03 18:14:00,0.0586,0.293,6.11,11.7
2024-03-03 18:14:15,0,0.0195,0.605,1.13
2024-03-03 18:14:30,0,0.0196,0.803,1.49
2024-03-03 18:14:45,0,0.0195,0.935,1.29
2024-03-03 18:15:00,0,0,0.860,1.45
2024-03-03 18:15:15,0.0196,0.0196,0.687,1.10
2024-03-03 18:15:30,0.0195,0.0391,0.859,1.23
2024-03-03 18:15:45,0,0,0.800,1.11
2024-03-03 18:16:00,0,0,0.761,1.66
2024-03-03 18:16:15,0.0195,0.0195,0.645,1.35
2024-03-03 18:16:30,0,0,0.781,1.56
2024-03-03 18:16:45,0.0782,0.372,7.94,12.7
2024-03-03 18:17:00,0.176,0.625,9.52,17.3
2024-03-03 18:17:15,0.0391,0.156,1.56,3.32
2024-03-03 18:17:30,0,0,0.859,1.44
2024-03-03 18:17:45,0,0,0.606,1.23
2024-03-03 18:18:00,0,0.0195,0.974,1.79
2024-03-03 18:18:15,0,0.0196,0.665,1.08
2024-03-03 18:18:30,0,0.0195,0.938,1.43
2024-03-03 18:18:45,0,0,0.957,1.17
2024-03-03 18:19:00,0,0,0.665,1.62
2024-03-03 18:19:15,0,0,0.605,0.819
2024-03-03 18:19:30,0,0.0195,0.837,1.60
2024-03-03 18:19:45,0.0195,0,0.997,1.25
2024-03-03 18:20:00,0.0975,0.663,9.71,16.9
2024-03-03 18:20:15,0.176,0.509,10.2,15.2
2024-03-03 18:20:30,0,0,0.742,1.19
2024-03-03 18:20:45,0,0,0.958,1.35
2024-03-03 18:21:00,0,0.0195,0.762,1.52
2024-03-03 18:21:15,0,0.0195,0.839,1.64
2024-03-03 18:21:30,0,0.0391,1.04,1.99
2024-03-03 18:21:45,0.0195,0,0.897,1.07
2024-03-03 18:22:00,0,0,1.74,2.34
2024-03-03 18:22:15,0,0,0.702,0.780
2024-03-03 18:22:30,0,0,0.780,1.66
2024-03-03 18:22:45,0,0,0.741,1.40
2024-03-03 18:23:00,0.117,0.723,12.4,21.4
2024-03-03 18:23:15,0.156,0.837,13.5,21.1
2024-03-03 18:23:30,0,0.0584,0.876,1.89
2024-03-03 18:23:45,0,0,0.664,1.11
2024-03-03 18:24:00,0,0.0391,0.879,1.74
2024-03-03 18:24:15,0,0,0.782,0.997
2024-03-03 18:24:30,0,0.0196,0.606,1.68
2024-03-03 18:24:45,0,0.0196,0.723,1.17
2024-03-03 18:25:00,0.0391,0,0.723,1.17
2024-03-03 18:25:15,0,0,0.781,0.820
2024-03-03 18:25:30,0.0391,0,0.626,1.90
2024-03-03 18:25:45,0,0.0195,0.702,0.702
2024-03-03 18:26:00,0.0391,0.567,9.56,16.6
2024-03-03 18:26:15,0.332,0.958,15.6,24.6
2024-03-03 18:26:30,0.0586,0.391,5.86,9.94
2024-03-03 18:26:45,0.0196,0.0196,0.861,1.39
2024-03-03 18:27:00,0,0,0.819,1.36
2024-03-03 18:27:15,0,0.0195,0.856,0.914
2024-03-03 18:27:30,0,0.0196,2.70,4.56
2024-03-03 18:27:45,0.0195,0,0.410,1.23
2024-03-03 18:28:00,0.0195,0.0195,0.917,1.74
2024-03-03 18:28:15,0.0195,0,0.429,1.09
2024-03-03 18:28:30,0,0.0195,0.780,1.87
2024-03-03 18:28:45,0,0,0.508,0.626
2024-03-03 18:29:00,0,0.0391,0.763,1.96
2024-03-03 18:29:15,0.390,1.27,21.7,37.1
2024-03-03 18:29:30,0.195,1.19,19.7,39.0
2024-03-03 18:29:45,0,0,0.703,5.90
2024-03-03 18:30:00,0,0.0586,0.840,1.86
2024-03-03 18:30:15,0,0,0.702,0.857
2024-03-03 18:30:30,0,0,1.01,1.81
