"Time","Sent- Upload","Received- Download"
2024-03-03 17:00:00,8614,-1006
2024-03-03 17:00:15,8646,-1076
2024-03-03 17:00:30,718336,-497027
2024-03-03 17:00:45,8991219,-6094649
2024-03-03 17:01:00,16064482,-10874033
2024-03-03 17:01:15,16226195,-11003813
2024-03-03 17:01:30,15685080,-10657341
2024-03-03 17:01:45,10112816,-6887441
2024-03-03 17:02:00,5774245,-3961485
2024-03-03 17:02:15,4639380,-3164379
2024-03-03 17:02:30,1699262,-1141908
2024-03-03 17:02:45,8639,-1021
2024-03-03 17:03:00,8438878,-5675658
2024-03-03 17:03:15,18072400,-12191066
2024-03-03 17:03:30,18782271,-12650885
2024-03-03 17:03:45,18908341,-13057817
2024-03-03 17:04:00,10595599,-7702791
2024-03-03 17:04:15,3795317,-3000625
2024-03-03 17:04:30,4806859,-3581514
2024-03-03 17:04:45,6578491,-4558493
2024-03-03 17:05:00,6028835,-4114515
2024-03-03 17:05:15,5644976,-3813845
2024-03-03 17:05:30,2631065,-1745264
2024-03-03 17:05:45,8777,-1215
2024-03-03 17:06:00,6951410,-4806668
2024-03-03 17:06:15,19019263,-13190278
2024-03-03 17:06:30,23811509,-16459596
2024-03-03 17:06:45,30457703,-21043997
2024-03-03 17:07:00,21992648,-15434521
2024-03-03 17:07:15,10024863,-7086621
2024-03-03 17:07:30,11074240,-7915483
2024-03-03 17:07:45,5853296,-4128737
2024-03-03 17:08:00,6399374,-4180371
2024-03-03 17:08:15,6022796,-4084606
2024-03-03 17:08:30,3618953,-2360694
2024-03-03 17:08:45,715166,-404330
2024-03-03 17:09:00,3381202,-2415932
2024-03-03 17:09:15,15808237,-11415650
2024-03-03 17:09:30,24658354,-17760507
2024-03-03 17:09:45,25868931,-18626073
2024-03-03 17:10:00,26489324,-18925404
2024-03-03 17:10:15,20815070,-14606667
2024-03-03 17:10:30,16374015,-11649249
2024-03-03 17:10:45,15452837,-10913144
2024-03-03 17:11:00,9849213,-6722993
2024-03-03 17:11:15,5858688,-3941185
2024-03-03 17:11:30,4641717,-2964886
2024-03-03 17:11:45,1744477,-1033770
2024-03-03 17:12:00,9300,-1331
2024-03-03 17:12:15,4191104,-3235044
2024-03-03 17:12:30,8444881,-6437514
2024-03-03 17:12:45,8481975,-6464582
2024-03-03 17:13:00,16134767,-11232903
2024-03-03 17:13:15,22185456,-14674965
2024-03-03 17:13:30,20329124,-13167661
2024-03-03 17:13:45,20373882,-13540398
2024-03-03 17:14:00,13051440,-8821174
2024-03-03 17:14:15,6032561,-4003822
2024-03-03 17:14:30,5692465,-3466927
2024-03-03 17:14:45,2871342,-1710339
2024-03-03 17:15:00,35802,-2095
2024-03-03 17:15:15,3345972,-2572266
2024-03-03 17:15:30,8726494,-6702060
2024-03-03 17:15:45,10719840,-8233173
2024-03-03 17:16:00,16404815,-11969416
2024-03-03 17:16:15,21692200,-14852424
2024-03-03 17:16:30,21140506,-13861035
2024-03-03 17:16:45,22187774,-14891920
2024-03-03 17:17:00,15810467,-10633609
2024-03-03 17:17:15,7713283,-5030424
2024-03-03 17:17:30,6393186,-4177157
2024-03-03 17:17:45,4172886,-2438264
2024-03-03 17:18:00,1299977,-480439
2024-03-03 17:18:15,1442519,-1031101
2024-03-03 17:18:30,8018983,-5751132
2024-03-03 17:18:45,13282845,-9491866
2024-03-03 17:19:00,14720181,-10411926
2024-03-03 17:19:15,23168472,-15602982
2024-03-03 17:19:30,20876511,-13999717
2024-03-03 17:19:45,18183305,-11969393
2024-03-03 17:20:00,15705468,-10788591
2024-03-03 17:20:15,6959089,-4554712
2024-03-03 17:20:30,6437362,-4183399
2024-03-03 17:20:45,5393262,-3079948
2024-03-03 17:21:00,2476126,-1182676
2024-03-03 17:21:15,9647,-1395
2024-03-03 17:21:30,7066409,-4954013
2024-03-03 17:21:45,15820186,-11060885
2024-03-03 17:22:00,17227879,-12048592
2024-03-03 17:22:15,25289656,-17226654
2024-03-03 17:22:30,29321208,-19451045
2024-03-03 17:22:45,25129799,-16371237
2024-03-03 17:23:00,25928735,-17730709
2024-03-03 17:23:15,16252437,-11317396
2024-03-03 17:23:30,6855052,-4442049
2024-03-03 17:23:45,6853076,-4440505
2024-03-03 17:24:00,3915673,-1856665
2024-03-03 17:24:15,958269,-35441
2024-03-03 17:24:30,4553707,-3217426
2024-03-03 17:24:45,14244078,-9970352
2024-03-03 17:25:00,19367324,-13546090
2024-03-03 17:25:15,24576258,-17077495
2024-03-03 17:25:30,28829829,-20563298
2024-03-03 17:25:45,20315361,-14407517
2024-03-03 17:26:00,19177517,-13247401
2024-03-03 17:26:15,12489332,-9699735
2024-03-03 17:26:30,7464606,-4977897
2024-03-03 17:26:45,7621062,-4722760
2024-03-03 17:27:00,6170394,-2971348
2024-03-03 17:27:15,3282519,-940232
2024-03-03 17:27:30,398889,-15025
2024-03-03 17:27:45,6754639,-4800314
2024-03-03 17:28:00,17774190,-12620814
2024-03-03 17:28:15,21876650,-15524734
2024-03-03 17:28:30,23623004,-17893020
2024-03-03 17:28:45,14370549,-11339522
2024-03-03 17:29:00,4312391,-3995478
2024-03-03 17:29:15,5179499,-4504822
2024-03-03 17:29:30,5995154,-4452554
2024-03-03 17:29:45,7887243,-5538420
2024-03-03 17:30:00,8527561,-5249818
2024-03-03 17:30:15,6688540,-2804720
2024-03-03 17:30:30,3705719,-991416
2024-03-03 17:30:45,757041,-27591
2024-03-03 17:31:00,6120958,-4431156
