"Time","dpc","interrupt","privileged","user"
2024-03-02 19:51:15,0.0195,0,0.663,6.48
2024-03-02 19:51:30,0,0,2.61,4.43
2024-03-02 19:51:45,0,0,1.09,2.62
2024-03-02 19:52:00,0,0,0.274,0.391
2024-03-02 19:52:15,0.0196,0,0.235,0.509
2024-03-02 19:52:30,0,0.0195,0.351,0.409
2024-03-02 19:52:45,0,0,0.371,0.663
2024-03-02 19:53:00,0,0,0.372,0.333
2024-03-02 19:53:15,0.0198,0.0198,0.456,0.753
2024-03-02 19:53:30,0,0,0.332,0.293
2024-03-02 19:53:45,0,0,0.196,0.391
2024-03-02 19:54:00,0.410,0,0.956,2.48
2024-03-02 19:54:15,0,0.0195,0.273,0.371
2024-03-02 19:54:30,0,0,0.332,0.410
2024-03-02 19:54:45,0,0.0195,0.215,0.644
2024-03-02 19:55:00,0,0,0.390,0.332
2024-03-02 19:55:15,0.0391,0.0196,1.13,1.58
2024-03-02 19:55:30,0,0.0195,0.390,0.293
2024-03-02 19:55:45,0.0195,0,0.469,0.332
2024-03-02 19:56:00,0,0,0.409,0.370
2024-03-02 19:56:15,0.0391,0.0196,0.235,0.430
2024-03-02 19:56:30,0,0.0391,0.411,0.215
2024-03-02 19:56:45,0,0,0.351,0.605
2024-03-02 19:57:00,0.0195,0.0195,0.351,0.781
2024-03-02 19:57:15,0,0,0.409,0.351
2024-03-02 19:57:30,0.0195,0,0.215,0.410
2024-03-02 19:57:45,0,0,0.332,0.332
2024-03-02 19:58:00,0.0196,0,0.274,0.372
2024-03-02 19:58:15,0,0,0.332,0.761
2024-03-02 19:58:30,0.0392,0.0196,0.411,0.372
2024-03-02 19:58:45,0,0,0.372,0.274
2024-03-02 19:59:00,0.0195,0,0.350,0.331
2024-03-02 19:59:15,0,0.0390,0.292,0.331
2024-03-02 19:59:30,0,0,0.390,0.293
2024-03-02 19:59:45,0,0,0.293,0.313
2024-03-02 20:00:00,0,0.0196,0.176,0.528
2024-03-02 20:00:15,0,0,0.332,0.352
2024-03-02 20:00:30,0,0.0195,0.215,0.352
2024-03-02 20:00:45,0,0.0195,0.312,0.586
2024-03-02 20:01:00,0.587,0.0587,1.68,3.85
2024-03-02 20:01:15,0,0,0.333,0.372
2024-03-02 20:01:30,0,0,0.293,0.684
2024-03-02 20:01:45,0,0.0196,0.274,0.411
2024-03-02 20:02:00,0,0,0.254,0.371
2024-03-02 20:02:15,0,0,0.312,0.332
2024-03-02 20:02:30,1.32,0.0968,3.04,6.06
2024-03-02 20:02:45,1.27,0.0977,2.89,6.62
2024-03-02 20:03:00,0,0.0196,0.196,0.567
2024-03-02 20:03:15,0.449,0.0195,1.25,8.58
2024-03-02 20:03:30,0.703,0.137,1.74,9.75
2024-03-02 20:03:45,0,0.0390,0.312,0.429
2024-03-02 20:04:00,3.28,0.0782,5.37,11.0
2024-03-02 20:04:15,3.34,0.0781,5.23,11.5
2024-03-02 20:04:30,0,0,0.312,0.449
2024-03-02 20:04:45,4.98,0.0782,8.89,23.6
2024-03-02 20:05:00,0.371,0.0390,1.19,9.60
2024-03-02 20:05:15,0.137,0.0586,1.54,10.8
2024-03-02 20:05:30,2.83,0.117,4.43,10.5
