"Time","Sent- Upload","Received- Download"
2024-03-02 20:38:45,940120,-61658
2024-03-02 20:39:00,1671215,-1041671
2024-03-02 20:39:15,5791547,-4753207
2024-03-02 20:39:30,9372709,-7690357
2024-03-02 20:39:45,9856327,-8325441
2024-03-02 20:40:00,8536862,-8477250
2024-03-02 20:40:15,4106720,-4946528
2024-03-02 20:40:30,2336106,-3402351
2024-03-02 20:40:45,3108517,-4331947
2024-03-02 20:41:00,4017615,-5213671
2024-03-02 20:41:15,4484989,-5243096
2024-03-02 20:41:30,4905889,-5262819
2024-03-02 20:41:45,2970647,-1633844
2024-03-02 20:42:00,2083688,-134790
2024-03-02 20:42:15,1662189,-106202
2024-03-02 20:42:30,2276510,-1048412
2024-03-02 20:42:45,6389641,-5033363
2024-03-02 20:43:00,9249735,-7827294
2024-03-02 20:43:15,9708185,-8447928
2024-03-02 20:43:30,9006641,-9375823
2024-03-02 20:43:45,4775682,-5899484
2024-03-02 20:44:00,3087591,-4406232
2024-03-02 20:44:15,3610326,-5177656
2024-03-02 20:44:30,4617772,-6564429
2024-03-02 20:44:45,4580487,-6435120
2024-03-02 20:45:00,4248958,-5925656
2024-03-02 20:45:15,2112514,-2570748
2024-03-02 20:45:30,603296,-41935
2024-03-02 20:45:45,573076,-39045
2024-03-02 20:46:00,473675,-32678
2024-03-02 20:46:15,312713,-20956
2024-03-02 20:46:30,3942560,-3297855
2024-03-02 20:46:45,8064034,-6962897
2024-03-02 20:47:00,8659926,-7477668
2024-03-02 20:47:15,10417095,-10991680
2024-03-02 20:47:30,7844443,-10296390
2024-03-02 20:47:45,4524323,-7345506
2024-03-02 20:48:00,4481488,-7239339
2024-03-02 20:48:15,4808893,-7611254
2024-03-02 20:48:30,4684554,-7358346
2024-03-02 20:48:45,4754874,-7360716
2024-03-02 20:49:00,3495430,-5339214
2024-03-02 20:49:15,621404,-41866
2024-03-02 20:49:30,619592,-41739
2024-03-02 20:49:45,541903,-37834
2024-03-02 20:50:00,597705,-44227
2024-03-02 20:50:15,842319,-58255
2024-03-02 20:50:30,1195611,-79238
2024-03-02 20:50:45,1559424,-102536
2024-03-02 20:51:00,3710859,-1935317
2024-03-02 20:51:15,8118160,-5955913
2024-03-02 20:51:30,10026286,-8064756
2024-03-02 20:51:45,9499106,-8122484
2024-03-02 20:52:00,5985067,-5181741
2024-03-02 20:52:15,1558498,-1338874
2024-03-02 20:52:30,691682,-604801
2024-03-02 20:52:45,461980,-401744
2024-03-02 20:53:00,111446,-91946
2024-03-02 20:53:15,8783,-1101
2024-03-02 20:53:30,8929,-1205
2024-03-02 20:53:45,8944,-1164
2024-03-02 20:54:00,8890,-1029
2024-03-02 20:54:15,8849,-1108
2024-03-02 20:54:30,8721,-973
2024-03-02 20:54:45,8749,-1082
2024-03-02 20:55:00,8704,-1075
2024-03-02 20:55:15,8680,-1015
2024-03-02 20:55:30,8671,-1106
2024-03-02 20:55:45,8699,-1022
2024-03-02 20:56:00,227131,-188521
2024-03-02 20:56:15,699790,-594705
