"Time","dpc","interrupt","privileged","user"
2024-03-03 17:00:00,0,0,0.293,0.449
2024-03-03 17:00:15,0,0,0.156,0.723
2024-03-03 17:00:30,1.13,0.117,2.52,4.99
2024-03-03 17:00:45,4.40,0.334,8.18,14.8
2024-03-03 17:01:00,2.44,0.195,4.98,8.21
2024-03-03 17:01:15,0.430,0.0390,0.976,1.58
2024-03-03 17:01:30,1.54,0.233,2.55,5.19
2024-03-03 17:01:45,1.27,0.0976,2.42,3.85
2024-03-03 17:02:00,0,0.0390,0.390,0.702
2024-03-03 17:02:15,0,0.0196,0.353,0.490
2024-03-03 17:02:30,0,0,0.254,0.351
2024-03-03 17:02:45,0,0,0.644,0.605
2024-03-03 17:03:00,4.83,0.0781,8.38,3.56
2024-03-03 17:03:15,4.05,0.177,8.23,3.01
2024-03-03 17:03:30,0,0.0195,0.390,0.507
2024-03-03 17:03:45,0.956,0.0976,2.20,8.78
2024-03-03 17:04:00,0.859,0.176,2.09,10.1
2024-03-03 17:04:15,0,0.0195,0.391,0.391
2024-03-03 17:04:30,2.03,0.176,3.07,5.39
2024-03-03 17:04:45,1.85,0.0975,3.10,5.60
2024-03-03 17:05:00,0.0585,0,0.507,0.468
2024-03-03 17:05:15,0.0196,0.0391,1.04,1.53
2024-03-03 17:05:30,0,0,0.468,0.390
2024-03-03 17:05:45,0,0,0.508,0.645
2024-03-03 17:06:00,3.71,0.0195,7.29,3.50
2024-03-03 17:06:15,4.52,0.0782,7.72,3.91
2024-03-03 17:06:30,0.0195,0,0.273,0.352
2024-03-03 17:06:45,6.10,0.0587,9.88,19.4
2024-03-03 17:07:00,0.606,0.0196,3.15,10.2
2024-03-03 17:07:15,0,0,0.411,0.548
2024-03-03 17:07:30,2.29,0.195,3.40,4.92
2024-03-03 17:07:45,2.11,0.117,3.36,6.42
2024-03-03 17:08:00,0,0.0195,0.371,0.410
2024-03-03 17:08:15,0.0195,0,0.234,0.625
2024-03-03 17:08:30,0.0195,0,0.410,0.430
2024-03-03 17:08:45,0.0196,0,0.724,0.509
2024-03-03 17:09:00,3.82,0.0390,6.68,3.55
2024-03-03 17:09:15,4.38,0.0391,7.59,3.87
2024-03-03 17:09:30,0.526,0,1.40,0.799
2024-03-03 17:09:45,1.68,0.0586,5.39,9.08
2024-03-03 17:10:00,3.44,0.0604,6.56,14.9
2024-03-03 17:10:15,1.36,0.0390,2.86,5.77
2024-03-03 17:10:30,0.918,0.0195,1.52,2.21
2024-03-03 17:10:45,1.87,0.156,3.06,6.70
2024-03-03 17:11:00,1.21,0.117,2.38,6.48
2024-03-03 17:11:15,0.0195,0,0.410,0.371
2024-03-03 17:11:30,0.0196,0,0.392,0.804
2024-03-03 17:11:45,0,0,0.567,0.625
2024-03-03 17:12:00,0,0,0.293,0.469
2024-03-03 17:12:15,1.98,0,3.50,2.05
2024-03-03 17:12:30,1.63,0.0973,3.44,1.32
2024-03-03 17:12:45,0,0,0.606,0.723
2024-03-03 17:13:00,4.51,0.234,7.97,16.7
2024-03-03 17:13:15,4.73,0.176,8.17,17.3
2024-03-03 17:13:30,0,0,0.469,0.312
