params_clients,mosq_rps,active_rps,aedes_rps,emqx_rps,mosq_fail,active_fail,aedes_fail,emqx_fail,mosq_cpu_usage,active_cpu_usage,aedes_cpu_usage,emqx_cpu_usage,mosq_99_percent,active_99_percent,aedes_99_percent,emqx_99_percent
1,57087.5,48974.2,17642.4,14569.7,0.006004817166630173,0.0,0.0,0.0,0.015110000000000002,0.057425,0.027417999999999998,0.019953000000000002,0.02,0.02,0.02,0.02
2,75324.3,13372.4,18293.2,27405.2,0.0503879227942478,0.0,0.0,0.0,0.04851375000000001,0.0166985,0.015868,0.017755,0.18,0.04,0.04,0.05
4,81467.5,30286.0,18187.3,35767.7,0.14977629115905117,0.0,0.0,0.0,0.08517749999999999,0.10018799999999999,0.040054,0.1544825,0.07,0.08,0.07,0.18
8,25151.9,46586.1,17485.3,47862.1,0.0757424555070061,0.0,0.0,0.0,0.017065,0.0914855,0.041565,0.0277025,19.5,0.67,0.1,0.96
12,31682.0,57689.7,17761.3,40933.7,0.10218620227447522,0.0,0.0,0.2952348999846907,0.03767,0.015399999999999999,0.016495,0.1040005,19.33,2.1,0.23,16.24
16,36809.3,58505.3,18566.2,50518.5,0.0,0.0,0.0,0.34440343267214496,0.043982499999999994,0.095379,0.079734,0.2041885,19.15,10.86,0.39,16.59
24,47322.4,50242.0,18298.8,59018.6,0.00043179018237324,0.0,0.0,0.970886579259194,0.010561000000000001,0.078535,0.027875,0.014724999999999999,18.94,16.85,1.24,17.28
32,52806.3,68007.5,19364.5,63016.9,0.0018697264025946399,0.0,0.0,0.9871616382069139,0.06061625,0.014448,0.05920025,0.1391,19.14,16.8,2.08,16.93
48,59545.1,52746.1,20437.1,68871.2,0.004043436008132776,0.08439986754163338,0.0,0.9981008017385118,0.052034500000000004,0.2280775,0.023350500000000003,0.016425000000000002,21.22,18.26,8.18,18.98
64,63557.4,15958.7,22356.2,78823.7,0.01098166854860407,0.5358644501118512,0.0,0.9990463950985977,0.055233750000000005,0.04147725,0.04968,0.15066500000000002,29.14,17.44,11.81,20.9
128,67934.4,20948.7,27041.9,82345.4,0.06960051147406492,0.5873131549719792,0.16784323586730224,0.9997129976444757,0.076195,0.0967425,0.11393500000000001,0.30009050000000004,55.65,54.46,24.16,39.65
