params_clients,mosq_rps,active_rps,aedes_rps,emqx_rps,mosq_fail,active_fail,aedes_fail,emqx_fail,mosq_cpu_usage,active_cpu_usage,aedes_cpu_usage,emqx_cpu_usage,mosq_99_percent,active_99_percent,aedes_99_percent,emqx_99_percent
1,2104.2,2301.7,1418.3,1757.4,0.0,0.0,0.0,0.0,0.014089999999999998,0.038845000000000005,0.0215725,0.026080499999999996,0.56,0.52,0.91,0.77
2,2387.7,2552.4,1736.0,3420.3,0.0,0.0,0.0,0.0,0.035678,0.0149105,0.012685,0.05038175,1.4,1.42,1.85,1.07
4,2598.1,7205.4,2026.4,6036.2,0.0,0.0,0.0,0.0,0.044933499999999994,0.058383,0.061190999999999995,0.110449,2.52,1.48,3.37,1.4
8,4170.6,13968.0,2486.0,10824.5,0.0,0.0,0.0,0.8014356277098936,0.014058000000000001,0.048403,0.016637,0.015542499999999999,4.32,1.38,5.8,4.15
12,5886.3,20086.6,2545.4,16515.0,0.0,0.0,0.0,0.9492986174185084,0.048254750000000006,0.0161,0.0438275,0.09776675,6.22,1.46,8.04,3.38
16,8437.7,25716.2,2921.4,20351.5,0.006613202702168846,0.0,0.0,0.9663940145378072,0.043096499999999996,0.21334800000000004,0.06514,0.139883,7.13,2.64,9.37,3.66
24,13167.9,33145.4,3401.6,26622.2,0.1024666106380178,0.0,0.0,0.9845542635416262,0.03722,0.0496865,0.011202499999999999,0.022634500000000002,5.3,4.51,12.68,4.42
32,16297.5,27239.7,3464.0,27678.8,0.30078580398669735,0.0,0.0,0.9901862433989872,0.123385,0.11246624999999999,0.0366865,0.1864995,6.13,14.16,16.18,4.99
48,24439.2,27784.4,3569.7,27911.0,0.6960638427010122,0.0,0.0,0.990202201996582,0.022157999999999997,0.19914749999999998,0.043291500000000004,0.1337335,7.04,18.48,21.47,6.87
64,24517.9,23949.1,3512.8,27899.6,0.7996894789936074,0.0,0.0,0.992275874922938,0.06005300000000001,0.013462499999999999,0.0220005,0.010727500000000001,8.72,22.4,24.54,9.08
128,34052.0,22723.5,3577.4,29006.5,0.9322947919899056,0.0,0.0,0.9912169212453287,0.0798755,0.12279375000000001,0.03828550000000001,0.40170999999999996,13.01,41.54,42.78,13.99
