scenario,params_qos,params_clients,params_message_size,duration,step_name,request_count,ok,failed,received,rps,min,mean,max,50_percent,75_percent,95_percent,99_percent,std_dev,data_transfer_min,data_transfer_mean,data_transfer_max,data_transfer_all,start_date_time,test_build_time,test_init_start_time,test_init_end_time,test_clean_start_time,test_clean_end_time
benchmark-qos0-aedes-host-8cl,0,8,256,00:00:30,publish,536904,536904,0,536904,17896.8,0,0.44,841.57,0.02,0.03,0.09,0.14,17.01,256,256,256,137447424,2024-03-13T00:20:19,2024-03-13T00:20:19,2024-03-13T00:20:19,2024-03-13T00:20:24,2024-03-13T00:20:59,2024-03-13T00:21:20
benchmark-qos0-emqx-host-8cl,0,8,256,00:00:30,publish,1278482,1278482,0,1278482,42616.1,0,0.18,41.21,0.02,0.04,0.15,1.46,1.55,256,256,256,327291392,2024-03-13T00:21:20,2024-03-13T00:21:20,2024-03-13T00:21:20,2024-03-13T00:21:25,2024-03-13T00:22:00,2024-03-13T00:22:21
benchmark-qos0-mosquitto-host-8cl,0,8,256,00:00:30,publish,840506,840506,0,803542,28016.9,0,0.27,37.35,0.02,0.03,0.13,18.99,2.12,256,256,256,215169536,2024-03-13T00:22:21,2024-03-13T00:22:21,2024-03-13T00:22:21,2024-03-13T00:22:26,2024-03-13T00:23:02,2024-03-13T00:23:23
benchmark-qos0-activemq-host-16cl,0,16,256,00:00:30,publish,612132,612132,0,507393,20404.4,0,0.76,1394.3,0.02,0.03,0.21,8.04,21.09,256,256,256,156705792,2024-03-13T00:23:23,2024-03-13T00:23:23,2024-03-13T00:23:23,2024-03-13T00:23:28,2024-03-13T00:24:03,2024-03-13T00:24:24
benchmark-qos0-aedes-host-16cl,0,16,256,00:00:30,publish,552702,552702,0,552702,18423.4,0,0.84,1498.98,0.02,0.03,0.16,0.45,29.5,256,256,256,141491712,2024-03-13T00:24:24,2024-03-13T00:24:24,2024-03-13T00:24:24,2024-03-13T00:24:29,2024-03-13T00:25:04,2024-03-13T00:25:25
benchmark-qos0-emqx-host-16cl,0,16,256,00:00:30,publish,1418949,1418949,0,156086,47298.3,0,0.32,41.3,0.02,0.05,0.32,16.46,2.04,256,256,256,363250944,2024-03-13T00:25:26,2024-03-13T00:25:26,2024-03-13T00:25:26,2024-03-13T00:25:31,2024-03-13T00:26:06,2024-03-13T00:26:27
benchmark-qos0-mosquitto-host-16cl,0,16,256,00:00:30,publish,1178229,1178229,0,1049302,39274.3,0,0.39,43.61,0.02,0.03,0.3,19.04,2.57,256,256,256,301626624,2024-03-13T00:26:27,2024-03-13T00:26:27,2024-03-13T00:26:27,2024-03-13T00:26:32,2024-03-13T00:27:07,2024-03-13T00:27:28
benchmark-qos0-activemq-host-32cl,0,32,256,00:00:30,publish,447774,447774,0,304107,14925.8,0,2.34,3357,0.02,0.03,0.46,12.7,55.84,256,256,256,114630144,2024-03-13T00:27:28,2024-03-13T00:27:28,2024-03-13T00:27:28,2024-03-13T00:27:33,2024-03-13T00:28:12,2024-03-13T00:28:35
benchmark-qos0-aedes-host-32cl,0,32,256,00:00:30,publish,582924,582924,0,582924,19430.8,0,1.67,3532.82,0.02,0.03,0.4,2.62,64.73,256,256,256,149228544,2024-03-13T00:28:35,2024-03-13T00:28:35,2024-03-13T00:28:35,2024-03-13T00:28:40,2024-03-13T00:29:16,2024-03-13T00:29:37
benchmark-qos0-emqx-host-32cl,0,32,256,00:00:30,publish,1835475,1835475,0,10411,61182.5,0,0.5,61.36,0.02,0.03,1.2,17.02,2.65,256,256,256,469881600,2024-03-13T00:29:37,2024-03-13T00:29:37,2024-03-13T00:29:37,2024-03-13T00:29:42,2024-03-13T00:30:18,2024-03-13T00:30:39
