scenario,params_qos,params_clients,params_message_size,duration,step_name,request_count,ok,failed,received,rps,min,mean,max,50_percent,75_percent,95_percent,99_percent,std_dev,data_transfer_min,data_transfer_mean,data_transfer_max,data_transfer_all,start_date_time,test_build_time,test_init_start_time,test_init_end_time,test_clean_start_time,test_clean_end_time
benchmark-qos0-activemq-host-1cl,0,1,16,00:00:30,publish,1235757,1235757,0,1235757,41191.9,0,0.02,116.51,0.01,0.01,0.02,0.02,0.73,16,16,16,19772112,2024-03-12T22:12:45,2024-03-12T22:12:45,2024-03-12T22:12:45,2024-03-12T22:12:51,2024-03-12T22:13:25,2024-03-12T22:13:46
benchmark-qos0-aedes-host-1cl,0,1,16,00:00:30,publish,648270,648270,0,648270,21609,0,0.04,560.29,0.01,0.01,0.01,0.02,4.18,16,16,16,10372320,2024-03-12T22:13:46,2024-03-12T22:13:46,2024-03-12T22:13:46,2024-03-12T22:13:51,2024-03-12T22:14:26,2024-03-12T22:14:48
benchmark-qos0-emqx-host-1cl,0,1,16,00:00:30,publish,487132,487132,0,487132,16237.7,0,0.06,1346.19,0.01,0.01,0.01,0.02,6.69,16,16,16,7794112,2024-03-12T22:14:48,2024-03-12T22:14:48,2024-03-12T22:14:48,2024-03-12T22:14:53,2024-03-12T22:15:28,2024-03-12T22:15:49
benchmark-qos0-mosquitto-host-1cl,0,1,16,00:00:30,publish,1088692,1088692,0,1088692,36289.7,0,0.02,23.99,0.01,0.01,0.02,0.03,0.47,16,16,16,17419072,2024-03-12T22:15:49,2024-03-12T22:15:49,2024-03-12T22:15:49,2024-03-12T22:15:54,2024-03-12T22:16:28,2024-03-12T22:16:49
benchmark-qos0-activemq-host-2cl,0,2,16,00:00:30,publish,2288328,2288328,0,2288328,76277.6,0,0.02,23.84,0.01,0.02,0.04,0.06,0.31,16,16,16,36613248,2024-03-12T22:16:49,2024-03-12T22:16:49,2024-03-12T22:16:49,2024-03-12T22:16:54,2024-03-12T22:17:29,2024-03-12T22:17:50
benchmark-qos0-aedes-host-2cl,0,2,16,00:00:30,publish,594571,594571,0,594571,19819,0,0.1,1076.49,0.01,0.02,0.02,0.05,7.76,16,16,16,9513136,2024-03-12T22:17:50,2024-03-12T22:17:50,2024-03-12T22:17:50,2024-03-12T22:17:55,2024-03-12T22:18:29,2024-03-12T22:18:50
benchmark-qos0-emqx-host-2cl,0,2,16,00:00:30,publish,932244,932244,0,932244,31074.8,0,0.06,1362.56,0.01,0.01,0.04,0.05,6.24,16,16,16,14915904,2024-03-12T22:18:50,2024-03-12T22:18:50,2024-03-12T22:18:50,2024-03-12T22:18:55,2024-03-12T22:19:29,2024-03-12T22:19:50
benchmark-qos0-mosquitto-host-2cl,0,2,16,00:00:30,publish,2476072,2476072,0,2473073,82535.7,0,0.02,65.43,0.01,0.01,0.04,0.06,0.31,16,16,16,39617152,2024-03-12T22:19:50,2024-03-12T22:19:50,2024-03-12T22:19:50,2024-03-12T22:19:55,2024-03-12T22:20:30,2024-03-12T22:20:51
benchmark-qos0-activemq-host-4cl,0,4,16,00:00:30,publish,421411,421411,0,421411,14047,0,0.28,2359.84,0.01,0.02,0.05,0.08,23.16,16,16,16,6742576,2024-03-12T22:20:52,2024-03-12T22:20:52,2024-03-12T22:20:52,2024-03-12T22:20:57,2024-03-12T22:21:32,2024-03-12T22:21:56
benchmark-qos0-aedes-host-4cl,0,4,16,00:00:30,publish,652425,652425,0,652425,21747.5,0,0.18,1553.61,0.01,0.02,0.05,0.08,14.26,16,16,16,10438800,2024-03-12T22:21:56,2024-03-12T22:21:56,2024-03-12T22:21:56,2024-03-12T22:22:01,2024-03-12T22:22:36,2024-03-12T22:22:57
